,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
495,0,0,2,3,4,0,5,7,4,5
496,0,0,2,3,0,0,5,0,4,5
497,0,0,2,3,0,5,4,0,1,2
498,0,0,2,3,4,5,0,1,1,3
499,0,1,0,0,3,5,0,1,0,3
500,0,1,0,0,3,5,0,1,0,3
501,0,1,0,0,3,5,0,1,0,3
502,0,1,0,1,1,2,6,5,2,7
503,0,1,0,0,3,5,0,1,5,8
504,0,1,0,0,3,2,6,6,3,1
505,0,1,0,0,3,2,6,6,3,1
506,0,1,0,0,3,2,6,1,3,1
507,0,1,0,1,1,2,6,5,2,7
508,0,0,2,3,0,0,4,0,1,2
509,0,1,2,3,4,5,0,1,1,4
510,0,1,0,0,3,5,0,1,0,4
511,0,1,0,0,3,5,0,1,0,4
512,0,1,2,3,4,3,2,3,5,4
513,0,1,2,3,4,3,2,3,5,6
514,0,1,1,0,3,4,1,6,8,9
515,0,1,0,0,3,4,1,4,3,1
516,0,0,2,3,0,0,5,0,4,5
517,0,1,0,1,4,3,2,3,6,4
518,0,1,0,1,4,3,2,3,6,4
519,0,1,0,1,4,3,2,4,6,4
520,0,1,2,3,4,3,2,7,6,4
521,0,1,0,0,3,3,2,1,6,4
522,0,1,0,0,3,4,1,6,8,9
523,0,1,0,0,3,4,1,6,8,9
524,0,0,1,2,0,5,4,1,1,2
525,0,0,1,2,0,5,3,1,3,2
526,0,0,1,2,0,5,3,0,3,2
527,0,0,1,2,2,5,3,1,3,2
528,0,0,2,3,0,0,4,0,1,2
529,0,1,0,0,3,5,0,1,1,3
530,0,0,1,2,0,0,4,0,5,2
531,0,1,2,3,4,3,5,7,6,4
532,0,1,2,3,4,3,5,7,6,4
533,0,1,2,3,4,3,5,7,6,4
534,0,1,2,3,4,3,5,7,6,4
535,0,0,1,2,0,1,4,2,7,0
536,0,1,2,3,4,3,2,1,6,4
537,0,1,2,0,3,5,0,4,1,3
538,0,0,1,0,2,5,3,3,5,2
539,0,0,1,2,2,3,2,3,5,8
540,0,1,2,3,4,3,5,7,6,6
541,0,0,1,2,2,3,3,3,5,8
542,0,0,1,0,3,3,0,3,1,4
543,0,1,0,1,1,2,6,5,2,7
544,0,1,2,3,4,3,2,7,6,4
545,0,1,2,3,4,3,2,3,6,8
546,0,0,2,3,4,3,2,7,6,6
547,0,0,2,3,4,3,5,7,0,4
548,0,0,1,2,0,1,4,2,7,0
549,0,1,1,0,2,5,3,1,3,1
550,0,1,0,0,3,5,0,1,0,1
551,0,1,0,0,3,2,0,1,0,3
552,0,0,2,3,0,5,0,0,1,2
553,0,1,2,3,4,5,0,1,1,3
554,0,0,1,2,0,1,4,2,7,0
555,0,0,2,3,4,3,5,7,0,4
556,0,0,1,2,2,1,3,3,3,1
557,0,0,1,2,0,1,4,2,7,0
558,0,1,2,3,4,3,2,7,6,4
559,0,0,2,3,4,0,2,3,4,8
560,0,0,2,3,4,0,5,7,4,6
561,0,1,0,0,3,3,0,1,0,4
562,0,1,0,0,3,3,0,1,0,4
563,0,0,1,2,0,1,4,2,7,0
564,0,0,1,2,0,1,4,2,7,0
565,0,0,1,2,0,0,4,0,1,2
566,0,0,1,2,0,1,4,0,1,2
567,0,0,2,3,0,0,4,0,1,2
568,0,1,0,1,1,2,6,5,2,7
569,0,0,2,3,4,0,5,4,4,6
570,0,1,0,1,1,2,6,5,3,7
571,0,1,0,1,1,2,6,5,2,7
572,0,1,0,0,3,4,1,6,3,1
573,0,0,1,2,0,5,4,0,1,8
574,0,1,0,1,1,2,6,5,2,7
575,0,0,2,3,2,3,2,3,6,8
576,0,0,1,2,0,5,4,0,1,2
577,0,0,1,2,0,5,4,0,1,2
578,0,0,1,2,0,5,4,0,1,2
579,0,0,2,3,4,5,2,3,5,8
580,0,0,1,2,2,5,3,3,5,8
581,0,1,0,0,3,5,0,1,0,4
582,0,1,0,0,3,5,0,3,1,1
583,0,0,2,3,0,0,4,0,4,8
584,0,0,2,3,0,5,0,1,1,2
585,0,0,1,2,0,1,4,2,7,0
586,0,0,2,3,4,5,0,1,1,3
587,0,1,2,1,4,3,2,7,6,4
588,0,0,2,3,4,3,2,3,5,4
589,0,1,0,1,4,3,2,7,6,4
590,0,0,1,2,2,1,3,2,7,0
591,0,0,1,2,2,1,3,2,7,0
592,0,0,2,3,4,0,2,4,1,6
593,0,1,0,0,3,5,0,1,1,3
594,0,0,1,2,2,1,4,3,7,8
595,0,0,1,2,0,1,4,2,7,0
596,0,0,1,2,0,1,4,2,7,0
597,0,0,2,3,0,5,0,1,1,2
598,0,1,2,3,4,3,2,4,5,6
599,0,1,2,3,4,3,2,4,6,6
600,0,1,2,3,4,3,5,7,4,6
601,0,1,2,3,4,3,2,7,6,6
602,0,1,2,3,4,3,5,7,6,4
603,0,1,2,3,4,3,2,7,6,6
604,0,1,2,3,4,3,2,7,6,6
605,0,1,0,1,4,3,2,3,6,4
606,0,1,2,3,4,3,2,7,6,6
607,0,0,1,2,0,1,4,4,5,8
608,0,0,1,2,2,1,4,4,5,8
609,0,1,2,3,4,0,2,3,6,6
610,0,0,2,3,0,0,4,0,4,5
611,0,0,2,3,0,0,5,0,4,5
612,0,0,2,3,0,5,4,0,1,2
613,0,1,2,3,4,3,5,7,6,6
614,0,0,2,3,4,3,2,7,6,6
615,0,1,0,0,3,5,0,1,1,3
616,0,0,2,3,4,0,5,7,4,5
617,0,1,0,1,2,2,3,3,3,1
618,0,1,1,0,3,4,1,6,8,9
619,0,1,0,1,1,2,6,5,6,7
620,0,0,2,3,4,0,2,3,6,8
621,0,0,2,3,4,0,2,3,6,8
622,0,1,0,1,3,4,1,6,8,9
623,0,0,1,2,2,4,3,3,5,8
624,0,1,0,0,3,5,0,1,3,1
625,0,0,2,3,0,0,4,0,4,2
626,0,1,2,3,4,5,0,1,3,6
627,0,1,1,0,3,4,1,6,3,1
628,0,1,0,1,1,2,6,5,2,7
